date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:21:17	81/81	---M--	200	added ('OK')	text/plain	date:Mon,%2012%20Mar%202018%2008:48:20%20GMT	http://demo.hot-themes.com/robots.txt		(from )
01:21:18	28411/28411	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Dec%202018%2006:21:11%20GMT	http://demo.hot-themes.com/joomla/paradise/	C:/Users/user/Desktop/tourism/tourism1/demo.hot-themes.com/joomla/paradise/index.html	(from )
01:21:19	34494/34494	---M--	200	added ('OK')	image/x-icon	date:Mon,%2021%20Nov%202016%2015:08:48%20GMT	http://demo.hot-themes.com/joomla/paradise/templates/sparky_framework/images/icons/favicon.ico	C:/Users/user/Desktop/tourism/tourism1/demo.hot-themes.com/joomla/paradise/templates/sparky_framework/images/icons/favicon.ico	(from http://demo.hot-themes.com/joomla/paradise/)
01:21:20	2304/2304	---M--	200	added ('OK')	application/rss+xml	date:Tue,%2018%20Dec%202018%2006:21:14%20GMT	http://demo.hot-themes.com/joomla/paradise/index.php?format=feed&type=rss	C:/Users/user/Desktop/tourism/tourism1/demo.hot-themes.com/joomla/paradise/indexc0d0.php	(from http://demo.hot-themes.com/joomla/paradise/)
01:21:21	21441/21441	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202016%2015:08:48%20GMT	http://demo.hot-themes.com/joomla/paradise/templates/sparky_framework/images/icons/icon180x180.png	C:/Users/user/Desktop/tourism/tourism1/demo.hot-themes.com/joomla/paradise/templates/sparky_framework/images/icons/icon180x180.png	(from http://demo.hot-themes.com/joomla/paradise/)
01:21:21	3693/3693	---M--	200	added ('OK')	application/atom+xml	date:Tue,%2018%20Dec%202018%2006:21:15%20GMT	http://demo.hot-themes.com/joomla/paradise/index.php?format=feed&type=atom	C:/Users/user/Desktop/tourism/tourism1/demo.hot-themes.com/joomla/paradise/index7b17.php	(from http://demo.hot-themes.com/joomla/paradise/)
01:21:21	7279/7279	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202016%2015:08:48%20GMT	http://demo.hot-themes.com/joomla/paradise/templates/sparky_framework/css/normalize.css	C:/Users/user/Desktop/tourism/tourism1/demo.hot-themes.com/joomla/paradise/templates/sparky_framework/css/normalize.css	(from http://demo.hot-themes.com/joomla/paradise/)
01:21:21	23419/23419	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202016%2015:08:48%20GMT	http://demo.hot-themes.com/joomla/paradise/templates/sparky_framework/images/icons/icon192x192.png	C:/Users/user/Desktop/tourism/tourism1/demo.hot-themes.com/joomla/paradise/templates/sparky_framework/images/icons/icon192x192.png	(from http://demo.hot-themes.com/joomla/paradise/)
01:21:22	556/556	---M--	200	added ('OK')	application/opensearchdescription+xml	date:Tue,%2018%20Dec%202018%2006:21:15%20GMT	http://demo.hot-themes.com/joomla/paradise/index.php/component/search/?Itemid=195&format=opensearch	C:/Users/user/Desktop/tourism/tourism1/demo.hot-themes.com/joomla/paradise/index.php/component/search/indexe2ad.html	(from http://demo.hot-themes.com/joomla/paradise/)
01:21:22	106242/106242	---M-Z	200	added ('OK')	text/css	date:Mon,%2026%20Nov%202018%2018:51:16%20GMT	http://demo.hot-themes.com/joomla/paradise/media/jui/css/bootstrap.min.css	C:/Users/user/Desktop/tourism/tourism1/demo.hot-themes.com/joomla/paradise/media/jui/css/bootstrap.min.css	(from http://demo.hot-themes.com/joomla/paradise/)
